Retail Type,Sales,Year,Category
Automobile and other motor vehicle dealers,1140000000000,2019,Auto
Automobile dealers,1070000000000,2019,Auto
New car dealers,944000000000,2019,Auto
Used car dealers,122000000000,2019,Auto
"Automotive parts, acc., and tire stores",96940000000,2019,Auto
"Furniture, home furn, electronics, and appliance stores",211000000000,2019,Electronics/Home/Furniture
Furniture and home furnishings stores,121000000000,2019,Electronics/Home/Furniture
Furniture stores,64208000000,2019,Electronics/Home/Furniture
Electronics and appliance stores,90536000000,2019,Electronics/Home/Furniture
Household appliance stores,16567000000,2019,Electronics/Home/Furniture
Electronics stores,73969000000,2019,Electronics/Home/Furniture
Building mat. and garden equip. and supplies dealers,372000000000,2019,Home/Garden/Hardware
Building mat. and supplies dealers,326000000000,2019,Home/Garden/Hardware
Paint and wallpaper stores,12734000000,2019,Home/Garden/Hardware
Hardware stores,28837000000,2019,Home/Garden/Hardware
Food and beverage stores,774000000000,2019,Food/Beverage
Grocery stores,693000000000,2019,Food/Beverage
Supermarkets and other grocery (except convenience) stores,660000000000,2019,Food/Beverage
"Beer, wine, and liquor stores",56805000000,2019,Food/Beverage
Health and personal care stores,343000000000,2019,Health/Drugs/Pharmacy
Pharmacies and drug stores,284000000000,2019,Health/Drugs/Pharmacy
Gasoline stations,512000000000,2019,Auto
Clothing and clothing access. stores,269000000000,2019,Clothing/Fashion
Clothing stores,196000000000,2019,Clothing/Fashion
Family clothing stores,112000000000,2019,Clothing/Fashion
Other clothing stores,17378000000,2019,Clothing/Fashion
Shoe stores,36627000000,2019,Clothing/Fashion
Jewelry stores,32640000000,2019,Luxury
"Sporting goods, hobby, musical instrument, and book stores",80757000000,2019,Sporting/Outdoors/Games
Sporting goods stores,45621000000,2019,Sporting/Outdoors/Games
"Hobby, toy, and game stores",16524000000,2019,Sporting/Outdoors/Games
Book stores,9126000000,2019,Merchandise
General merchandise stores,716000000000,2019,Merchandise
Department stores,135000000000,2019,Department
Department stores(excl. discount department stores),39548000000,2019,Department
Discount dept. stores,95111000000,2019,Department
Other general merchandise stores,582000000000,2019,Merchandise
Warehouse clubs and superstores,501000000000,2019,Department
All other gen. merchandise stores,80480000000,2019,Merchandise
Miscellaneous store retailers,132000000000,2019,Merchandise
"Office supplies, stationery, and gift stores",28922000000,2019,Office
Office supplies and stationery stores,10719000000,2019,Office
"Gift, novelty, and souvenir stores",18203000000,2019,Merchandise
Used merchandise stores,18300000000,2019,Merchandise
